Incidents of Robbery from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Snowy Monaro Regional,n.c.,1,4.9,0,0.0,0,0.0,0,0.0,3,14.5
Snowy Valleys,n.c.,1,6.8,1,6.8,1,6.9,0,0.0,3,20.6
Strathfield,n.c.,18,43.3,12,28.1,17,38.5,12,26.6,12,26.6
Sutherland Shire,n.c.,23,10.2,26,11.5,18,7.9,26,11.3,42,18.3
Sydney,Down 9.8% per year,309,143.1,268,118.8,253,107.8,318,132.4,227,94.5
Tamworth Regional,n.c.,15,24.8,18,29.5,20,32.4,24,38.6,16,25.7
Temora,n.c.,1,16.2,0,0.0,0,0.0,1,15.9,1,15.9
Tenterfield,n.c.,0,0.0,2,29.9,1,15.0,0,0.0,0,0.0
The Hills Shire,n.c.,24,14.9,17,10.4,11,6.4,16,9.3,29,16.8
Tweed,n.c.,13,14.0,14,14.9,13,13.7,20,20.8,19,19.8
Unincorporated Far West,n.c.,0,n.c.,0,n.c.,2,n.c.,0,n.c.,0,n.c.
Upper Hunter Shire,n.c.,2,13.9,0,0.0,0,0.0,0,0.0,0,0.0
Upper Lachlan Shire,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Uralla,n.c.,1,16.1,1,16.3,0,0.0,1,16.5,0,0.0
Wagga Wagga,n.c.,16,25.2,18,28.2,26,40.3,14,21.6,18,27.8
Walcha,n.c.,1,32.0,0,0.0,0,0.0,0,0.0,0,0.0
Walgett,n.c.,2,31.2,0,0.0,0,0.0,0,0.0,1,16.5
Warren,n.c.,0,n.c.,0,n.c.,0,n.c.,1,n.c.,2,n.c.
Warrumbungle Shire,n.c.,1,10.4,2,21.0,0,0.0,0,0.0,2,21.3
Waverley,n.c.,12,16.8,12,16.5,16,21.7,11,14.8,20,27.0
Weddin,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wentworth,n.c.,0,0.0,2,28.7,3,42.9,3,42.6,0,0.0
Willoughby,n.c.,11,14.3,9,11.5,13,16.3,23,28.6,15,18.7
Wingecarribee,n.c.,5,10.3,4,8.1,1,2.0,4,7.9,5,9.9
Wollondilly,n.c.,2,4.1,5,9.9,4,7.7,7,13.4,1,1.9
Wollongong,Stable,71,34.0,61,28.9,81,37.8,81,37.5,58,26.8
Woollahra,n.c.,3,5.2,3,5.2,1,1.7,5,8.5,3,5.1
Yass Valley,n.c.,1,6.1,1,6.0,0,0.0,2,11.8,0,0.0
