Incidents of Homicide from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Tweed,n.c.,1,1.1,2,2.1,2,2.1,3,3.1,4,4.2
Unincorporated Far West,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Upper Hunter Shire,n.c.,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0
Upper Lachlan Shire,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Uralla,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wagga Wagga,n.c.,1,1.6,2,3.1,1,1.6,3,4.6,1,1.5
Walcha,n.c.,0,0.0,0,0.0,1,31.8,0,0.0,0,0.0
Walgett,n.c.,0,0.0,1,15.8,1,16.5,0,0.0,1,16.5
Warren,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.,0,n.c.
Warrumbungle Shire,n.c.,0,0.0,3,31.4,0,0.0,1,10.6,0,0.0
Waverley,n.c.,0,0.0,0,0.0,0,0.0,2,2.7,0,0.0
Weddin,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wentworth,n.c.,0,0.0,0,0.0,1,14.3,2,28.4,0,0.0
Willoughby,n.c.,0,0.0,0,0.0,2,2.5,1,1.2,1,1.2
Wingecarribee,n.c.,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
Wollondilly,n.c.,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0
Wollongong,n.c.,4,1.9,1,0.5,2,0.9,4,1.9,2,0.9
Woollahra,n.c.,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yass Valley,n.c.,1,6.1,0,0.0,0,0.0,0,0.0,1,5.9
