Incidents of Theft from April 2015 to March 2020,,,,,,,,,,,
,To March 2020,Year to March 2016,Year to March 2016,Year to March 2017,Year to March 2017,Year to March 2018,Year to March 2018,Year to March 2019,Year to March 2019,Year to March 2020,Year to March 2020
LGA,Trend: 5 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Oberon,Stable,110,2062.1,98,1829.3,101,1872.9,125,2311.4,108,1997.0
Orange,Stable,2352,5745.9,2078,5034.8,1602,3846.8,2147,5105.1,2012,4784.1
Parkes,Down 9.7% per year,594,3974.4,564,3779.5,448,3004.6,385,2584.9,394,2645.4
Parramatta,Down 1.9% per year,7677,3349.4,7442,3144.7,7713,3143.4,7696,3062.3,7790,3099.7
Penrith,Stable,6811,3428.1,6859,3386.8,7442,3608.6,7243,3462.1,7341,3508.9
Port Macquarie-Hastings,Stable,1926,2427.6,1707,2122.2,1897,2317.4,2013,2421.5,1932,2324.0
Port Stephens,Stable,1986,2816.5,2057,2886.9,1854,2574.0,1773,2439.0,1864,2564.1
Queanbeyan-Palerang Regional,Stable,1590,2775.3,1355,2334.8,1456,2461.7,1502,2505.0,1512,2521.7
Randwick,Down 6.1% per year,3828,2596.4,3637,2428.9,3338,2186.4,3332,2159.9,3112,2017.3
Richmond Valley,Down 7.3% per year,862,3719.1,762,3274.0,626,2681.2,661,2824.9,644,2752.3
Ryde,Down 4.4% per year,2953,2480.1,2510,2054.7,2832,2261.5,2481,1946.7,2640,2071.5
Shellharbour,Down 3.2% per year,1876,2691.0,1847,2617.5,1570,2200.1,1666,2306.2,1710,2367.1
Shoalhaven,Stable,3013,2986.1,2621,2564.4,2431,2351.6,2733,2618.5,2639,2528.5
Singleton,Stable,794,3366.7,704,2988.2,691,2942.9,817,3488.2,828,3535.1
Snowy Monaro Regional,Stable,333,1625.1,282,1370.4,301,1455.4,343,1654.4,341,1644.7
Snowy Valleys,Stable,330,2255.3,548,3753.1,598,4109.1,489,3365.0,370,2546.1
Strathfield,Down 5.9% per year,1551,3733.9,1451,3394.9,1358,3077.7,1198,2653.8,1322,2928.5
Sutherland Shire,Down 2.1% per year,3918,1737.3,3648,1608.7,3884,1702.7,3387,1477.7,3659,1596.3
Sydney,Down 7.3% per year,19534,9036.8,18737,8324.4,17372,7394.7,16799,6992.9,16060,6685.3
Tamworth Regional,Stable,2184,3605.2,2460,4023.0,2769,4482.6,2460,3957.8,2246,3613.5
Temora,Stable,143,2315.1,142,2283.7,118,1888.9,119,1896.7,155,2470.5
Tenterfield,Stable,230,3428.2,289,4322.5,163,2450.1,203,3058.2,187,2817.1
The Hills Shire,Stable,2721,1701.8,2757,1679.5,2774,1640.1,2741,1589.2,3201,1855.9
Tweed,Stable,2320,2504.4,2160,2297.8,2171,2279.4,2313,2406.7,2288,2380.7
Unincorporated Far West,n.c.,12,n.c.,16,n.c.,10,n.c.,15,n.c.,18,n.c.
Upper Hunter Shire,Stable,353,2452.4,312,2177.6,318,2230.3,324,2278.5,273,1919.8
